"date Y-m-d m:s";gas adc;LPG PPM;Theoretical Warmup;Warmup End;Curve: Power-law (3)
2025-07-02 22:56:17;131;5.12906320103077;122;;
2025-07-02 22:56:47;131;5.12906320103077;122;;
2025-07-02 22:57:17;130.33;5.065311592096869;122;;
2025-07-02 22:57:47;130;5.034101772391747;122;;
2025-07-02 22:58:17;129.77;5.012423506405697;122;;
2025-07-02 22:58:47;130.16;5.049218157706805;122;;
2025-07-02 22:59:17;130.63;5.093793009045;122;;
2025-07-02 22:59:47;131;5.12906320103077;122;;
2025-07-02 23:00:17;131;5.12906320103077;122;;
2025-07-02 23:00:47;131;5.12906320103077;122;;
2025-07-02 23:01:17;131;5.12906320103077;122;;
2025-07-02 23:01:47;131;5.12906320103077;122;;
2025-07-02 23:02:17;131;5.12906320103077;122;;
2025-07-02 23:02:47;131;5.12906320103077;122;;
2025-07-02 23:03:17;131;5.12906320103077;122;;
2025-07-02 23:03:47;130.99;5.128107871132099;122;;
2025-07-02 23:04:17;130.91;5.120469397601864;122;;
2025-07-02 23:04:47;130.96;5.125242575793781;122;;
2025-07-02 23:05:17;130.94;5.123332957451804;122;;
2025-07-02 23:05:47;130.57;5.08808842098652;122;;
2025-07-02 23:06:18;130.28;5.060574774908519;122;;
2025-07-02 23:06:48;130.11;5.044491124709286;122;;
2025-07-02 23:07:18;130;5.034101772391747;122;;
2025-07-02 23:07:48;130;5.034101772391747;122;;
2025-07-02 23:08:18;130;5.034101772391747;122;;
2025-07-02 23:08:48;130;5.034101772391747;122;;
2025-07-02 23:09:18;130;5.034101772391747;122;;
2025-07-02 23:09:48;130;5.034101772391747;122;;
2025-07-02 23:10:18;130;5.034101772391747;122;;
2025-07-02 23:10:48;129.99;5.033157975561918;122;;
2025-07-02 23:11:18;129.05;4.944953087460103;122;;
2025-07-02 23:11:48;129.02;4.942154684503281;122;;
2025-07-02 23:12:18;129.66;5.002077103429471;122;;
2025-07-02 23:12:48;130.27;5.059627756972978;122;;
2025-07-02 23:13:18;130.96;5.125242575793781;122;;
2025-07-02 23:13:48;131;5.12906320103077;122;;
2025-07-02 23:14:18;131;5.12906320103077;122;;
2025-07-02 23:14:48;131;5.12906320103077;122;;
2025-07-02 23:15:18;131;5.12906320103077;122;;
2025-07-02 23:15:48;131;5.12906320103077;122;;
2025-07-02 23:16:18;131;5.12906320103077;122;;
2025-07-02 23:16:48;131;5.12906320103077;122;;
2025-07-02 23:17:18;131;5.12906320103077;122;;
2025-07-02 23:17:48;131;5.12906320103077;122;;
2025-07-02 23:18:18;131;5.12906320103077;122;;
2025-07-02 23:18:48;131;5.12906320103077;122;;
2025-07-02 23:19:18;131;5.12906320103077;122;;
2025-07-02 23:19:48;131;5.12906320103077;122;;
2025-07-02 23:20:18;131;5.12906320103077;122;;
2025-07-02 23:20:48;131;5.12906320103077;122;;
2025-07-02 23:21:18;130.94;5.123332957451804;122;;
2025-07-02 23:21:48;130.52;5.083337770936215;122;;
2025-07-02 23:22:18;130.03;5.036933852496626;122;;
2025-07-02 23:22:49;129.86;5.020899071781836;122;;
2025-07-02 23:23:19;129.10;4.94961937582451;122;;
2025-07-02 23:23:49;129.41;4.978614129758273;122;;
2025-07-02 23:24:19;129.28;4.966441661893312;122;;
2025-07-02 23:24:49;130.52;5.083337770936215;122;;
2025-07-02 23:25:19;131;5.12906320103077;122;;
2025-07-02 23:25:49;131;5.12906320103077;122;;
2025-07-02 23:26:19;131;5.12906320103077;122;;
2025-07-02 23:26:49;131;5.12906320103077;122;;
2025-07-02 23:27:19;131;5.12906320103077;122;;
2025-07-02 23:27:49;130.97;5.1261975585217225;122;;
2025-07-02 23:28:19;130.22;5.054894394361461;122;;
2025-07-02 23:28:49;130;5.034101772391747;122;;
2025-07-02 23:29:19;130;5.034101772391747;122;;
2025-07-02 23:29:49;130;5.034101772391747;122;;
2025-07-02 23:30:19;130;5.034101772391747;122;;
2025-07-02 23:30:49;129.55;4.991744573895066;122;;
2025-07-02 23:31:19;129;4.940289653257527;122;;
2025-07-02 23:31:49;128.49;4.892885421505514;122;;
2025-07-02 23:32:19;128.11;4.857756977637332;122;;
2025-07-02 23:32:49;129;4.940289653257527;122;;
2025-07-02 23:33:19;128.97;4.937492962316772;122;;
2025-07-02 23:33:49;128.22;4.867908876230602;122;;
2025-07-02 23:34:19;127.97;4.84485622566125;122;;
2025-07-02 23:34:49;128.66;4.908653915131026;122;;
2025-07-02 23:35:19;128.44;4.88825388552483;122;;
2025-07-02 23:35:49;128.02;4.849461086618003;122;;
2025-07-02 23:36:19;128.07;4.854068781157274;122;;
2025-07-02 23:36:49;128.11;4.857756977637332;122;;
2025-07-02 23:37:19;129;4.940289653257527;122;;
2025-07-02 23:37:49;128.88;4.929109050155625;122;;
2025-07-02 23:38:19;128;4.847618802261158;122;;
2025-07-02 23:38:49;128.49;4.892885421505514;122;;
2025-07-02 23:39:20;128.86;4.927247213102468;122;;
2025-07-02 23:39:50;130.22;5.054894394361461;122;;
2025-07-02 23:40:20;130.96;5.125242575793781;122;;
2025-07-02 23:40:50;131;5.12906320103077;122;;
2025-07-02 23:41:20;131;5.12906320103077;122;;
2025-07-02 23:41:50;131;5.12906320103077;122;;
2025-07-02 23:42:20;131;5.12906320103077;122;;
2025-07-02 23:42:50;131;5.12906320103077;122;;
2025-07-02 23:43:20;130.92;5.121423801874255;122;;
2025-07-02 23:43:50;130.75;5.105214654407194;122;;
2025-07-02 23:44:20;130.69;5.099501752935274;122;;
2025-07-02 23:44:50;130.75;5.105214654407194;122;;
2025-07-02 23:45:20;130.52;5.083337770936215;122;;
2025-07-02 23:45:50;130.16;5.049218157706805;122;;
2025-07-02 23:46:20;130;5.034101772391747;122;;
2025-07-02 23:46:50;130;5.034101772391747;122;;
2025-07-02 23:47:20;130;5.034101772391747;122;;
2025-07-02 23:47:50;129.94;5.0284407150882675;122;;
2025-07-02 23:48:20;128.47;4.891032466014406;122;;
2025-07-02 23:48:50;129.21;4.959895261816372;122;;
2025-07-02 23:49:20;129.82;5.017131006009758;122;;
2025-07-02 23:49:50;130;5.034101772391747;122;;
2025-07-02 23:50:20;129.52;4.988929017673843;122;;
2025-07-02 23:50:50;129.02;4.942154684503281;122;;
2025-07-02 23:51:20;129.16;4.955222690766882;122;;
2025-07-02 23:51:50;129.74;5.009600383649081;122;;
2025-07-02 23:52:20;128.94;4.934697298297103;122;;
2025-07-02 23:52:50;128.82;4.9235249071027045;122;;
2025-07-02 23:53:20;129.08;4.94775251791518;122;;
2025-07-02 23:53:50;130.83;5.112838326744699;122;;
2025-07-02 23:54:20;131.49;5.176016306590841;122;;
2025-07-02 23:54:50;132;5.2251820321317926;122;;
2025-07-02 23:55:20;132;5.2251820321317926;122;;
2025-07-02 23:55:51;132;5.2251820321317926;122;;
2025-07-02 23:56:21;131.97;5.222281549300279;122;;
2025-07-02 23:56:51;131.64;5.190445408351938;122;;
2025-07-02 23:57:21;131.07;5.13575375149092;122;;
2025-07-02 23:57:51;131;5.12906320103077;122;;
2025-07-02 23:58:21;130.50;5.081438318427695;122;;
2025-07-02 23:58:51;129.91;5.025611737454124;122;;
2025-07-02 23:59:21;129.11;4.950552976085022;122;;
2025-07-02 23:59:51;129.61;4.9973787798914024;122;;
2025-07-03 00:00:21;129.24;4.962700175919817;122;;
2025-07-03 00:00:51;130.08;5.041656285206836;122;;
2025-07-03 00:01:21;130.13;5.046381592793909;122;;
2025-07-03 00:01:51;130.46;5.0776407973601465;122;;
2025-07-03 00:02:21;129.83;5.018072850254541;122;;
2025-07-03 00:02:51;130;5.034101772391747;122;;
2025-07-03 00:03:21;129.88;5.022783793541428;122;;
2025-07-03 00:03:51;129.69;5.004897473366394;122;;
2025-07-03 00:04:21;129.03;4.9430873713357775;122;;
2025-07-03 00:04:51;129.13;4.952420519257838;122;;
2025-07-03 00:05:21;129;4.940289653257527;122;;
2025-07-03 00:05:51;129;4.940289653257527;122;;
2025-07-03 00:06:21;128.94;4.934697298297103;122;;
2025-07-03 00:06:51;128.99;4.939357308828241;122;;
2025-07-03 00:07:21;128.94;4.934697298297103;122;;
2025-07-03 00:07:51;128.91;4.931902660982161;122;;
2025-07-03 00:08:21;128.47;4.891032466014406;122;;
2025-07-03 00:08:51;128.60;4.903084809275708;122;;
2025-07-03 00:09:21;128.58;4.901229351191912;122;;
2025-07-03 00:09:51;129;4.940289653257527;122;;
2025-07-03 00:10:21;128.92;4.9328340926888545;122;;
2025-07-03 00:10:51;129;4.940289653257527;122;;
2025-07-03 00:11:21;128.86;4.927247213102468;122;;
2025-07-03 00:11:52;129.92;5.026554615130146;122;;
2025-07-03 00:12:22;128.91;4.931902660982161;122;;
2025-07-03 00:12:52;129.42;4.979551274403436;122;;
2025-07-03 00:13:22;129.78;5.013364776804051;122;;
2025-07-03 00:13:52;131.05;5.133841586783701;122;;
2025-07-03 00:14:22;131.05;5.133841586783701;122;;
2025-07-03 00:14:52;131;5.12906320103077;122;;
2025-07-03 00:15:22;131.07;5.13575375149092;122;;
2025-07-03 00:15:52;131.02;5.130974208055671;122;;
2025-07-03 00:16:22;131.02;5.130974208055671;122;;
2025-07-03 00:16:52;131;5.12906320103077;122;;
2025-07-03 00:17:22;130.99;5.128107871132099;122;;
2025-07-03 00:17:52;130.63;5.093793009045;122;;
2025-07-03 00:18:22;130;5.034101772391747;122;;
2025-07-03 00:18:52;129.97;5.031270726661555;122;;
2025-07-03 00:19:22;130.19;5.052055758156638;122;;
2025-07-03 00:19:52;129.99;5.033157975561918;122;;
2025-07-03 00:20:22;130.63;5.093793009045;122;;
2025-07-03 00:20:52;129.75;5.0105413098362614;122;;
2025-07-03 00:21:22;129.86;5.020899071781836;122;;
2025-07-03 00:21:52;129.13;4.952420519257838;122;;
2025-07-03 00:22:22;128.78;4.919804424817966;122;;
2025-07-03 00:22:52;129.11;4.950552976085022;122;;
2025-07-03 00:23:22;128.49;4.892885421505514;122;;
2025-07-03 00:23:52;129.99;5.033157975561918;122;;
2025-07-03 00:24:22;129.61;4.9973787798914024;122;;
2025-07-03 00:24:52;128.88;4.929109050155625;122;;
2025-07-03 00:25:22;130.71;5.101405591385963;122;;
2025-07-03 00:25:52;131;5.12906320103077;122;;
